record_date,unit_price_calculated,weight_grams,moving_average
2023-04-17,19.047619047619047,840.0,18.928571428571427
2023-04-17,19.047619047619047,840.0,18.952380952380953
2023-05-08,19.047619047619047,840.0,18.976190476190474
2023-05-08,19.047619047619047,840.0,19.0
2023-05-09,19.047619047619047,840.0,19.023809523809526
2023-05-09,19.047619047619047,840.0,19.047619047619047
2023-05-10,19.047619047619047,840.0,19.047619047619047
2023-05-10,19.047619047619047,840.0,19.047619047619047
2023-05-17,19.047619047619047,840.0,19.047619047619047
2023-05-17,19.047619047619047,840.0,19.047619047619047
2023-05-29,19.047619047619047,840.0,19.047619047619047
2023-05-29,19.047619047619047,840.0,19.047619047619047
2023-05-31,18.80952380952381,840.0,19.023809523809526
2023-05-31,18.80952380952381,840.0,19.0
2023-07-25,19.047619047619047,840.0,19.0
2023-07-25,19.047619047619047,840.0,19.0
2023-07-26,19.047619047619047,840.0,19.0
2023-07-26,19.047619047619047,840.0,19.0
2023-07-30,19.047619047619047,840.0,19.0
2023-07-30,19.047619047619047,840.0,19.0
2023-08-04,18.80952380952381,840.0,18.976190476190474
2023-08-04,18.80952380952381,840.0,18.952380952380953
2023-08-05,18.80952380952381,840.0,18.952380952380953
2023-08-05,18.80952380952381,840.0,18.952380952380953
2023-08-12,19.047619047619047,840.0,18.952380952380953
2023-08-12,19.047619047619047,840.0,18.952380952380953
2023-10-23,18.69047619047619,840.0,18.916666666666664
2023-10-23,18.69047619047619,840.0,18.88095238095238
2023-12-04,18.80952380952381,840.0,18.857142857142858
2023-12-04,18.80952380952381,840.0,18.833333333333336
2023-12-09,19.047619047619047,840.0,18.857142857142858
2023-12-09,19.047619047619047,840.0,18.88095238095238
2023-12-10,19.047619047619047,840.0,18.904761904761905
2023-12-10,19.047619047619047,840.0,18.928571428571427
2023-12-14,20.0,840.0,19.023809523809526
2023-12-14,20.0,840.0,19.11904761904762
2024-01-04,18.80952380952381,840.0,19.13095238095238
2024-01-04,18.80952380952381,840.0,19.142857142857146
2024-01-12,19.047619047619047,840.0,19.166666666666664
2024-01-12,19.047619047619047,840.0,19.19047619047619
2024-01-15,18.80952380952381,840.0,19.166666666666664
2024-01-15,18.80952380952381,840.0,19.142857142857146
2024-01-19,18.80952380952381,840.0,19.11904761904762
2024-01-19,18.80952380952381,840.0,19.095238095238095
2024-02-07,18.80952380952381,840.0,18.976190476190474
2024-02-07,18.80952380952381,840.0,18.857142857142858
2024-02-25,19.047619047619047,840.0,18.880952380952383
2024-02-25,19.047619047619047,840.0,18.904761904761905
2024-02-26,19.047619047619047,840.0,18.904761904761905
2024-02-26,19.047619047619047,840.0,18.904761904761905
2024-02-27,19.047619047619047,840.0,18.928571428571427
2024-02-27,19.047619047619047,840.0,18.952380952380953
2024-02-28,19.047619047619047,840.0,18.976190476190474
2024-02-28,19.047619047619047,840.0,19.0
2024-02-29,19.047619047619047,840.0,19.023809523809526
2024-02-29,19.047619047619047,840.0,19.047619047619047
